x,y,gamma
0.36667,0.96667,0.02115
0.4,0.96667,0.02237
0.43333,0.96667,0.02318
0.46667,0.96667,0.02366
0.5,0.96667,0.02388
0.53333,0.96667,0.02388
0.56667,0.96667,0.02366
0.6,0.96667,0.02318
0.63333,0.96667,0.02237
0.66667,0.96667,0.02115
0.7,0.96667,0.01945
0.73333,0.96667,0.01733
0.76667,0.96667,0.01493
0.8,0.96667,0.0124
0.83333,0.96667,0.00979
0.86667,0.96667,0.00709
0.9,0.96667,0.00449
0.93333,0.96667,0.0024
0.96667,0.96667,0.00101
